sample	site	type	location	day	time	timepoint
SL345994	park/campus handrail	public surface	residence 2	4	evening	8
SL345995	door knob	household surface	residence 2	5	evening	10
SL345996	left palm	skin	residence 2	6	evening	12
SL345997	park/campus handrail	public surface	residence 2	7	evening	14
SL345998	door knob	household surface	residence 2	8	evening	16
SL346079	bed headboard	household surface	residence 2	9	morning	17
SL346080	door knob	household surface	residence 4	8	morning	15
SL346081	bed headboard	household surface	residence 4	8	morning	15
SL346082	door knob	household surface	residence 4	4	evening	8
SL346083	door knob	household surface	residence 4	4	morning	7
SL346084	subway exit handrail	public surface	residence 4	2	morning	3
SL346085	bed headboard	household surface	residence 4	2	evening	4
SL346086	bed headboard	household surface	residence 4	1	evening	2
SL346087	left palm	skin	residence 2	9	morning	17
SL346088	left palm	skin	residence 4	6	evening	12
SL346089	left palm	skin	residence 4	7	evening	14
SL346090	left palm	skin	residence 4	5	evening	10
SL346091	subway exit handrail	public surface	residence 4	2	evening	4
SL346092	door knob	household surface	residence 4	6	morning	11
SL346093	park/campus handrail	public surface	residence 4	6	morning	11
SL346094	left palm	skin	residence 4	7	morning	13
SL346095	left palm	skin	residence 2	9	evening	18
SL346096	park/campus handrail	public surface	residence 4	5	morning	9
SL346097	bed headboard	household surface	residence 4	5	morning	9
SL346099	bed headboard	household surface	residence 4	3	morning	5
SL346100	left palm	skin	residence 4	4	evening	8
SL346101	door knob	household surface	residence 4	3	evening	6
SL346102	subway exit handrail	public surface	residence 4	7	morning	13
SL346103	door knob	household surface	residence 2	9	morning	17
SL346104	door knob	household surface	residence 4	6	evening	12
SL346105	right palm	skin	residence 4	6	evening	12
SL346106	bed headboard	household surface	residence 4	9	morning	17
SL346108	left palm	skin	residence 4	6	morning	11
SL346109	right palm	skin	residence 4	8	evening	16
SL346110	bed headboard	household surface	residence 4	2	morning	3
SL346111	door knob	household surface	residence 2	10	evening	20
SL346112	subway exit handrail	public surface	residence 4	5	evening	10
SL346113	left palm	skin	residence 4	1	evening	2
SL346115	right palm	skin	residence 4	3	morning	5
SL346116	park/campus handrail	public surface	residence 4	7	morning	13
SL346117	subway exit handrail	public surface	residence 4	6	evening	12
SL346118	right palm	skin	residence 4	9	morning	17
SL346120	bed headboard	household surface	residence 4	5	evening	10
SL346121	park/campus handrail	public surface	residence 4	9	morning	17
SL346122	door knob	household surface	residence 4	5	evening	10
SL346123	subway exit handrail	public surface	residence 4	7	evening	14
SL346124	bed headboard	household surface	residence 4	6	morning	11
SL346125	park/campus handrail	public surface	residence 4	2	evening	4
SL346126	left palm	skin	residence 4	9	morning	17
SL346128	left palm	skin	residence 4	5	morning	9
SL346129	left palm	skin	residence 4	4	morning	7
SL346130	park/campus handrail	public surface	residence 4	3	evening	6
SL346131	park/campus handrail	public surface	residence 4	3	morning	5
SL346132	subway exit handrail	public surface	residence 4	9	morning	17
SL346133	park/campus handrail	public surface	residence 4	7	evening	14
SL346134	park/campus handrail	public surface	residence 4	8	morning	15
SL346136	park/campus handrail	public surface	residence 4	4	evening	8
SL346137	right palm	skin	residence 4	4	morning	7
SL346139	right palm	skin	residence 4	2	evening	4
SL346140	park/campus handrail	public surface	residence 4	5	evening	10
SL346141	subway exit handrail	public surface	residence 4	1	evening	2
SL346144	right palm	skin	residence 4	3	evening	6
SL346145	subway exit handrail	public surface	residence 4	4	morning	7
SL346146	park/campus handrail	public surface	residence 4	6	evening	12
SL346147	left palm	skin	residence 4	2	morning	3
SL346148	subway exit handrail	public surface	residence 4	3	morning	5
SL346149	right palm	skin	residence 4	7	morning	13
SL346150	right palm	skin	residence 4	5	morning	9
SL346151	left palm	skin	residence 4	8	evening	16
SL346152	park/campus handrail	public surface	residence 4	4	morning	7
SL346154	door knob	household surface	residence 4	3	morning	5
SL346155	door knob	household surface	residence 4	7	evening	14
SL346156	bed headboard	household surface	residence 4	7	evening	14
SL346157	bed headboard	household surface	residence 4	7	morning	13
SL346158	subway exit handrail	public surface	residence 4	4	evening	8
SL346159	subway exit handrail	public surface	residence 4	5	morning	9
SL346160	left palm	skin	residence 4	3	evening	6
SL346161	subway exit handrail	public surface	residence 4	3	evening	6
SL346162	door knob	household surface	residence 4	9	morning	17
SL346163	right palm	skin	residence 4	8	morning	15
SL346164	door knob	household surface	residence 4	8	evening	16
SL346165	park/campus handrail	public surface	residence 4	1	evening	2
SL346167	right palm	skin	residence 4	4	evening	8
SL346168	bed headboard	household surface	residence 4	8	evening	16
SL346169	left palm	skin	residence 4	8	morning	15
SL346170	park/campus handrail	public surface	residence 4	8	evening	16
SL346171	left palm	skin	residence 4	1	morning	1
SL346172	right palm	skin	residence 4	2	morning	3
SL346173	right palm	skin	residence 4	6	morning	11
